"strategy","cohort","time_month","threshold","net_benefit"
"refit","training",12,0.47,0.384078660350153
"refit","training",12,0.48,0.380902720610815
"refit","training",12,0.49,0.373923806672541
"refit","training",12,0.5,0.36427098975451
"refit","training",12,0.51,0.362015080083241
"refit","training",12,0.52,0.359154738624734
"refit","training",12,0.53,0.353439950691644
"refit","training",12,0.54,0.343788608420636
"refit","training",12,0.55,0.347498519877552
"refit","training",12,0.56,0.343885635809036
"refit","training",12,0.57,0.33858261850448
"refit","training",12,0.58,0.334687129160952
"refit","training",12,0.59,0.331453262961966
"refit","training",12,0.6,0.327048379051031
"refit","training",12,0.61,0.326053879677864
"refit","training",12,0.62,0.318728346908079
"refit","training",12,0.63,0.316496337299635
"refit","training",12,0.64,0.30902577764977
"refit","training",12,0.65,0.311516389879141
"refit","training",12,0.66,0.304397265282707
"refit","training",12,0.67,0.296008354606637
"refit","training",12,0.68,0.282015558429702
"refit","training",12,0.69,0.274989388794567
"refit","training",12,0.7,0.264777796842828
"refit","training",12,0.71,0.243815729598544
"refit","training",12,0.72,0.234513791491351
"refit","training",12,0.73,0.220746572225067
"refit","training",12,0.74,0.188713871591991
"refit","training",12,0.75,0.194272489777374
"refit","training",12,0.76,0.180466116995667
"refit","training",12,0.77,0.168905239107813
"refit","training",12,0.78,0.159027811162925
"refit","training",12,0.79,0.162274169330621
"refit","training",12,0.8,0.158072270471464
"refit","training",12,0.81,0.143866956473068
"refit","training",12,0.82,0.128541559993173
"refit","training",12,0.83,0.118062144212524
"refit","training",12,0.84,0.109857117812062
"refit","training",12,0.85,0.1022697710718
"refit","training",12,0.86,0.100533862738644
"refit","training",12,0.87,0.0887096774193548
"refit","training",12,0.88,0.0715725806451613
"refit","training",12,0.89,0.0564516129032258
"refit","training",12,0.9,0.0403225806451613
"refit","training",12,0.91,0.0262096774193548
"refit","training",12,0.92,0.0171370967741935
"refit","training",12,0.93,0.00806451612903226
"refit","training",12,0.94,0.00201612903225806
"refit","training",12,0.95,NA
"refit","training",12,0.96,NA
"refit","training",12,0.97,NA
"refit","training",12,0.98,NA
"refit","training",12,0.99,NA
"refit","validation",12,0.01,0.558080808080808
"refit","validation",12,0.02,0.553571428571429
"refit","validation",12,0.03,0.548969072164949
"refit","validation",12,0.04,0.544270833333333
"refit","validation",12,0.05,0.539473684210526
"refit","validation",12,0.06,0.534574468085106
"refit","validation",12,0.07,0.529569892473118
"refit","validation",12,0.08,0.52445652173913
"refit","validation",12,0.09,0.519230769230769
"refit","validation",12,0.1,0.513888888888889
"refit","validation",12,0.11,0.508426966292135
"refit","validation",12,0.12,0.502840909090909
"refit","validation",12,0.13,0.497126436781609
"refit","validation",12,0.14,0.491279069767442
"refit","validation",12,0.15,0.485294117647059
"refit","validation",12,0.16,0.479166666666667
"refit","validation",12,0.17,0.47289156626506
"refit","validation",12,0.18,0.466463414634146
"refit","validation",12,0.19,0.459876543209877
"refit","validation",12,0.2,0.453125
"refit","validation",12,0.21,0.44620253164557
"refit","validation",12,0.22,0.439102564102564
"refit","validation",12,0.23,0.433034800908019
"refit","validation",12,0.24,0.426913587103121
"refit","validation",12,0.25,0.419379961812883
"refit","validation",12,0.26,0.411642725028315
"refit","validation",12,0.27,0.403693509153758
"refit","validation",12,0.28,0.397104851330203
"refit","validation",12,0.29,0.390444309190505
"refit","validation",12,0.3,0.385450954575379
"refit","validation",12,0.31,0.382373417078277
"refit","validation",12,0.32,0.379562451166425
"refit","validation",12,0.33,0.376988469188758
"refit","validation",12,0.34,0.377025576684705
"refit","validation",12,0.35,0.375373507593572
"refit","validation",12,0.36,0.365428720771463
"refit","validation",12,0.37,0.369022573966473
"refit","validation",12,0.38,0.359371247898823
"refit","validation",12,0.39,0.353715696042025
"refit","validation",12,0.4,0.345296441513693
"refit","validation",12,0.41,0.343841642228739
"refit","validation",12,0.42,0.345980828371393
"refit","validation",12,0.43,0.338866165903517
"refit","validation",12,0.44,0.340318669283723
"refit","validation",12,0.45,0.334889522123241
"refit","validation",12,0.46,0.336056876061121
"refit","validation",12,0.47,0.339224879190546
"refit","validation",12,0.48,0.338642436967499
"refit","validation",12,0.49,0.350873888454812
"refit","validation",12,0.5,0.344416873449132
"refit","validation",12,0.51,0.347809107240491
"refit","validation",12,0.52,0.341061827956989
"refit","validation",12,0.53,0.316231983527797
"refit","validation",12,0.54,0.312412342215989
"refit","validation",12,0.55,0.319892473118279
"refit","validation",12,0.56,0.310850439882698
"refit","validation",12,0.57,0.316297824456114
"refit","validation",12,0.58,0.306643625192012
"refit","validation",12,0.59,0.297305271439811
"refit","validation",12,0.6,0.288306451612903
"refit","validation",12,0.61,0.283705541770058
"refit","validation",12,0.62,0.271434634974533
"refit","validation",12,0.63,0.274520488230166
"refit","validation",12,0.64,0.256272401433692
"refit","validation",12,0.65,0.257488479262673
"refit","validation",12,0.66,0.239326375711575
"refit","validation",12,0.67,0.229227761485826
"refit","validation",12,0.68,0.207157258064516
"refit","validation",12,0.69,0.206945889698231
"refit","validation",12,0.7,0.206989247311828
"refit","validation",12,0.71,0.206062291434928
"refit","validation",12,0.72,0.195276497695853
"refit","validation",12,0.73,0.17741935483871
"refit","validation",12,0.74,0.157258064516129
"refit","validation",12,0.75,0.125
