"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"G3BP2",-0.335915583333334,7.60715894444444,-0.769487921005381,0.455191612782561,0.657176606753793,-5.6761718428251,"Stable"
"PNKP",-0.610494208333333,5.9840868125,-0.769384496544636,0.455250907762062,0.657208549016194,-5.67624829298681,"Stable"
"PRELID2",0.670614791666667,5.54698122916667,0.769349111269527,0.455271195849783,0.657208549016194,-5.67627444722904,"Stable"
"PIK3R6",0.408092243055556,6.01695942708333,0.76921896935943,0.455345817386262,0.657274792940947,-5.6763706293414,"Stable"
"SMC5",-0.375730833333334,7.44366351388889,-0.769098369888357,0.45541497428972,0.657285329865807,-5.67645974586826,"Stable"
"ZNF362",-0.289976944444445,5.511771875,-0.769060968820328,0.455436423006373,0.657285329865807,-5.67648738066911,"Stable"
"LINC00471",0.751730972222224,4.64343565277778,0.769055926484359,0.455439314727352,0.657285329865807,-5.67649110624342,"Stable"
"ZNF184",-0.516036319444443,7.31383357638889,-0.768929085870751,0.455512060141114,0.657348844801168,-5.67658481624875,"Stable"
"SGCA",-0.264744444444444,5.260253625,-0.768851790176918,0.455556394219249,0.657367691130045,-5.6766419155205,"Stable"
"NCSTN",0.367267409722227,7.92987960763889,0.768773890477796,0.45560107747849,0.657367691130045,-5.67669945570336,"Stable"
"SLC30A10",0.44954963888889,6.16136577777778,0.76875602037754,0.455611328154698,0.657367691130045,-5.67671265460757,"Stable"
"TMEM14C",-0.338809625,8.84767729861111,-0.768556410703093,0.455725838439507,0.657491440473143,-5.67686006790883,"Stable"
"FAM170B",0.186505513888889,5.28053453472222,0.768371884133287,0.455831712076898,0.657602714603715,-5.67699631128865,"Stable"
"TBXAS1",0.526886513888886,7.33510995138889,0.768283754570513,0.455882282593462,0.657634197036703,-5.67706137039938,"Stable"
"SPRR3",-0.628688958333333,8.87654925694445,-0.76816225934249,0.455952004781562,0.657648579125437,-5.6771510496365,"Stable"
"CALD1",0.253381861111111,6.79389240277778,0.768154498425368,0.455956458748997,0.657648579125437,-5.67715677776219,"Stable"
"CTA-390C10.10",0.643388972222222,6.39507320833333,0.768115654279721,0.455978751700489,0.657648579125437,-5.67718544679875,"Stable"
"ARL9",-0.346905777777776,8.33798910416667,-0.768066006193261,0.456007246113293,0.657648579125437,-5.6772220877983,"Stable"
"SNPH",0.279672708333331,6.64245779861111,0.767461784402019,0.456354115415834,0.658107340619846,-5.67766783969837,"Stable"
"HSD3B2",-0.241087875,3.58176063194444,-0.76739664607466,0.456391519669217,0.658119793491743,-5.67771587509495,"Stable"
