name,GSM1620822,GSM1620823,GSM1620824,GSM1620819,GSM1620820,GSM1620821,GSM1620912,GSM1620913,GSM1620914,GSM1620915,GSM1620916,GSM1620917
DGCR9,4.021501,4.509447,4.174516,4.125537,4.061015,3.901968,5.420329,6.350002,4.890121,4.457701,4.029046,4.510581
NECAB2,4.724542,4.821397,5.359568,4.658851,4.758828,4.752154,5.110792,5.915327,4.811324,5.177733,4.939422,4.876969
THAP9-AS1,7.971381,8.876062,8.824486,9.175413,8.686053,9.178967,7.234979,8.747661,9.67047,9.573645,9.223076,9.095328
BRSK2,4.900679,4.74107,5.12851,4.917487,4.43201,4.781963,5.136792,3.866282,4.619235,5.575822,4.698254,5.740122
SNHG3,5.580727,6.783197,6.496184,7.114889,7.240021,6.941804,6.767698,4.769183,4.660427,8.249119,6.812841,4.64696
CCDC64,5.938884,5.911525,5.766782,5.218927,5.494156,5.66227,6.308953,6.88167,6.537785,6.125868,5.669409,6.225782
FNBP1L,6.672127,5.66769,5.244684,5.889593,6.557406,5.42586,5.988922,5.662966,8.667056,7.898738,7.630055,10.311228
ZNF528,9.926067,9.561784,9.118855,9.437273,10.309092,9.456431,7.835394,4.901527,11.10122,9.286855,9.722114,10.655063
CCZ1B,6.647938,7.218643,7.00629,6.999903,6.958622,6.646567,6.72243,6.860278,5.496202,6.533244,6.561806,4.141353
IGLV6-57,5.758332,7.991826,6.635504,7.309121,6.419303,6.123015,6.193471,7.487969,6.464255,6.341823,6.24291,6.294592
LINC01140,4.944284,4.395263,3.70061,4.070434,4.874418,4.076991,6.119506,6.185069,4.092332,4.375921,3.659442,4.59046
RNASEH2B,8.811537,8.406923,8.323847,8.624202,8.375445,8.466834,7.422093,5.867643,7.049916,7.610307,9.286177,8.095631
GUSBP3,8.872451,8.778963,8.657459,8.407902,9.030151,9.036074,9.599384,8.014632,10.434293,7.764729,9.013079,9.69354
TRIM58,2.696411,3.333185,2.591682,5.854047,4.207831,2.961673,3.296772,5.407737,2.053754,1.868805,3.004243,2.420382
ZNF280B,3.939979,3.802176,3.947186,4.382465,6.094225,4.400318,5.818814,4.655986,6.25021,5.11652,6.196495,5.117161
FRMPD4,3.812761,3.890638,3.580624,5.108379,5.234714,4.190404,6.776872,5.849064,4.494057,3.933435,3.500246,4.660027
DENND5B,4.193522,4.839593,4.858245,6.404766,4.646569,4.335026,6.81412,6.592976,3.787027,3.765624,3.586365,6.045737
METTL10,5.77042,5.695759,5.992982,6.014344,5.589641,5.7079,7.861772,7.763702,5.823666,5.990872,5.886801,6.03189
LRRC40,6.907987,6.879236,6.778277,6.661064,7.282617,6.811057,6.635797,8.129725,7.636525,7.081176,6.740694,7.457278
HIST1H2AC,9.275398,11.489286,10.058311,11.74974,12.954847,9.344023,6.168699,6.22563,11.796452,11.471514,10.209392,10.21428
GRB2,7.045668,7.178352,7.471268,7.477305,6.957646,7.020703,4.669473,6.021157,6.055795,7.444995,7.22016,7.152961
LOC100129518,7.301866,7.154273,8.20958,8.492208,8.284211,7.013491,5.747149,6.512861,12.717002,9.785041,10.134526,12.260179
KIAA1024,5.36486,4.864161,5.02451,6.506849,5.242723,6.92598,6.551179,6.331786,3.923403,4.838235,4.380135,4.319421
LRRC42,7.453758,7.295648,7.752798,7.577398,6.706408,7.058805,6.375565,5.684654,7.380889,8.201122,6.881203,5.367823
SPICE1,4.238826,5.075848,5.834403,6.121731,5.555967,5.17658,4.588368,5.492915,4.574943,5.210839,6.986317,4.226084
ADTRP,6.594527,6.786997,5.7393,6.206725,6.694452,6.765715,7.738958,7.749733,4.992439,7.715309,7.21244,7.346043
DPY19L1P1,6.863229,6.822189,7.538637,7.307248,6.654984,7.158019,6.721553,6.248475,4.370442,7.791876,7.832214,6.850782
NRIP2,6.070341,5.296022,5.747978,4.91566,5.776829,5.64472,6.716172,5.998966,6.539167,5.864108,5.418582,5.582885
N4BP2L2-IT2,7.673883,7.802601,7.887306,7.671682,7.493802,7.877438,6.894152,5.571157,5.969213,7.052583,7.742845,5.742126
TTC22,4.962404,4.532365,4.649208,4.286973,4.310642,4.559703,7.417697,4.282609,4.968954,5.305272,4.577396,5.523769
RC3H1,6.51497,7.188442,7.824979,7.235044,7.194825,7.93314,8.233541,6.875413,5.215202,8.032218,8.466317,4.347274
LOC100288974,4.863384,5.18841,5.282846,4.890646,5.044449,5.302733,8.286689,6.821261,5.831301,5.486774,5.082668,5.978974
TSC22D1,7.890288,10.617057,8.294088,9.690598,9.108755,8.287307,6.969698,6.815462,5.390058,9.201382,8.404268,9.863825
MCF2L2,3.394633,4.354882,3.75686,3.251197,2.479952,3.668951,7.895145,4.835477,3.312639,2.380249,3.78688,6.158842
DNM1,5.191061,5.133812,5.121408,4.515664,4.336811,5.386394,4.287985,6.569118,5.998351,5.620027,4.691446,5.470255
RAG2,3.585261,2.787975,3.054851,3.135778,3.256973,3.101334,6.608588,3.837085,3.585582,3.87653,3.676631,3.463825
AL928768.3,9.853784,10.95406,10.050698,11.075104,11.300956,10.163997,4.172402,6.12096,8.688992,8.33407,8.971554,8.141368
ZNF550,3.889657,3.683242,4.812078,4.233572,4.594286,4.932654,4.874615,6.315551,3.443678,4.206691,4.322432,4.202954
